Table,C/semester,off days,total sessions,Average unit load,sess/popday,Sess/day,Session Coef,number of breaks,total breaks,Length of breaks,Number of Blocks,Blocks/day,Block/pday,Avergae Block size,Largest Block,Norm Block,Early Sessions,Late Sessions,Late Days,Late/day,Combined Score,Intuitive rating,Rating,Score based Rating
ISMS_21_1_100,9,0,23,2.555555556,4.6,4.6,1,5,6,"1,1,1,2,1",10,2,2,2.3,4,0.25,4,5,3,1.666666667,,Bad,0,
ISMS_21_1_200,10,0,23,2.3,4.6,4.6,1,4,7,"4,1,1,1",9,1.8,1.8,2.555555556,4,0.25,5,3,3,1,,Bad,0,
ISMS_21_1_300,7,1,16,2.285714286,4,3.2,1.25,2,6,"3,3",6,1.2,1.5,2.666666667,4,0.25,3,2,2,1,,Bad,0,
ISMS_21_1_400_12,5,1,12,2.4,3,2.4,1.25,0,0,0,4,0.8,1,3,4,0.25,1,2,1,2,,Good,1,
ISMS_21_1_400_23,5,0,12,2.4,2.4,2.4,1,0,0,0,5,1,1,2.4,3,0.0625,1,0,0,0,,Good,1,
ISMS_21_1_400_31,5,0,12,2.4,2.4,2.4,1,0,0,0,5,1,1,2.4,3,0.0625,1,2,1,2,,Good,1,
ISMS_21_1_400_321,6,0,14,2.333333333,2.8,2.8,1,0,0,0,5,1,1,2.8,4,0.25,1,2,1,2,,Good,1,
ISMS_21_2_100,11,0,26,2.363636364,5.2,5.2,1,5,6,"1,1,2,1,1",10,2,2,2.6,4,0.25,2,7,4,1.75,,Good-N,1,
ISMS_22_1_200,10,0,23,2.3,4.6,4.6,1,3,4,"2,1,1,1",6,1.2,1.2,3.833333333,4,0.25,5,3,3,1,,Bad,0,
ISMS_22_1_300,8,1,18,2.25,4.5,3.6,1.25,1,1,1,5,1,1.25,3.6,6,1,2,4,3,1.333333333,,Bad,0,
ISMS_22_1_400_12,5,1,12,2.4,3,2.4,1.25,1,1,1,5,1,1.25,2.4,4,0.25,1,1,1,1,,Good-N,1,
ISMS_22_1_400_13,5,2,12,2.4,4,2.4,1.666666667,1,1,1,4,0.8,1.333333333,3,4,0.25,1,3,2,1.5,,Good-N,1,
ISMS_22_1_400_14,5,1,12,2.4,3,2.4,1.25,1,1,1,5,1,1.25,2.4,4,0.25,2,1,1,1,,Good-N,1,
ISMS_22_1_400_23,5,1,12,2.4,3,2.4,1.25,1,1,1,5,1,1.25,2.4,4,0.25,1,3,2,1.5,,Good-N,1,
ISMS_22_1_400_24,5,1,12,2.4,3,2.4,1.25,1,1,1,5,1,1.25,2.4,4,0.25,2,1,1,1,,Good-N,1,
